ScaleFO,ScaleRes,O1,O2,value,uncertainty
CV->FO,0p5kappa_np->Res,dphi^1,lndphi^0,863.3501489229088,1.8622818488090838
CV->FO,0p5MuBeam->Res,dphi^1,lndphi^0,862.6935704141531,1.8790815156940004
CV->FO,0p5MuBF->Res,dphi^1,lndphi^0,862.348962830107,1.870900296791037
CV->FO,0p5MuCt->Res,dphi^1,lndphi^0,863.0193048154762,1.8625366520293651
CV->FO,0p5MuFac->Res,dphi^1,lndphi^0,861.6750329250495,1.8647528093436803
0p5MuFtran->FO,0p5MuFtran->Res,dphi^1,lndphi^0,864.0083307306116,1.8618005623665512
CV->FO,0p5MuHard->Res,dphi^1,lndphi^0,863.2029574454797,1.8629955867759689
CV->FO,0p5MuSoft->Res,dphi^1,lndphi^0,862.9361531128798,1.8621270747383774
CV->FO,0p5NuBeam->Res,dphi^1,lndphi^0,862.9122685125276,1.8630384253866539
CV->FO,0p5NuSoft->Res,dphi^1,lndphi^0,863.3607665340112,1.8612668554513443
CV->FO,2C0_np->Res,dphi^1,lndphi^0,863.7792862942499,1.862695202909904
CV->FO,2kappa_np->Res,dphi^1,lndphi^0,862.8616751050297,1.8620063929743222
CV->FO,2MuBeam->Res,dphi^1,lndphi^0,862.4364330067879,1.8596761584632584
CV->FO,2MuBF->Res,dphi^1,lndphi^0,863.2074259020113,1.864743181778045
CV->FO,2MuCt->Res,dphi^1,lndphi^0,862.9956566263354,1.8638223477279106
CV->FO,2MuFac->Res,dphi^1,lndphi^0,863.63478252552,1.8696620095978647
2MuFtran->FO,2MuFtran->Res,dphi^1,lndphi^0,862.8329575274792,1.8903580746428248
CV->FO,2MuHard->Res,dphi^1,lndphi^0,862.8116802147997,1.8631308706118073
CV->FO,2MuSoft->Res,dphi^1,lndphi^0,863.1507694487078,1.8620166078721188
CV->FO,2NuBeam->Res,dphi^1,lndphi^0,863.3569232693616,1.8612077929803004
CV->FO,2NuSoft->Res,dphi^1,lndphi^0,862.9110169485477,1.863057583360794
0p5MuF->FO,CV->Res,dphi^1,lndphi^0,857.1972097059117,2.12609528943766
0p5MuRF->FO,CV->Res,dphi^1,lndphi^0,868.467407775524,2.639923955224227
0p5MuR->FO,CV->Res,dphi^1,lndphi^0,870.4607167660592,2.680887756718301
2MuF->FO,CV->Res,dphi^1,lndphi^0,867.7448032767988,2.0853441188511734
2MuRF->FO,CV->Res,dphi^1,lndphi^0,856.7564331910082,2.3456788549995498
2MuR->FO,CV->Res,dphi^1,lndphi^0,849.578600192179,2.370373187550697
